date,hs,swe_obs
2016-09-01,0.0,
2016-09-02,0.0,
2016-09-03,0.0,
2016-09-04,0.0,
2016-09-05,0.0,
2016-09-06,0.0,
2016-09-07,0.0,
2016-09-08,0.0,
2016-09-09,0.0,
2016-09-10,0.0,
2016-09-11,0.0,
2016-09-12,0.0,
2016-09-13,0.0,
2016-09-14,0.0,
2016-09-15,0.0,
2016-09-16,0.0,
2016-09-17,0.0,
2016-09-18,0.0,
2016-09-19,0.0,
2016-09-20,0.0,
2016-09-21,0.0,
2016-09-22,0.0,
2016-09-23,0.0,
2016-09-24,0.0,
2016-09-25,0.0,
2016-09-26,0.0,
2016-09-27,0.0,
2016-09-28,0.0,
2016-09-29,0.0,
2016-09-30,0.0,
2016-10-01,0.0,
2016-10-02,0.0,
2016-10-03,0.0,
2016-10-04,0.0,
2016-10-05,0.0,
2016-10-06,0.0,
2016-10-07,0.0,
2016-10-08,0.0,
2016-10-09,0.0,
2016-10-10,0.0,
2016-10-11,0.0,
2016-10-12,0.0,
2016-10-13,0.0,
2016-10-14,2.0,
2016-10-15,2.0,
2016-10-16,0.0,
2016-10-17,0.0,
2016-10-18,0.0,
2016-10-19,0.0,
2016-10-20,0.0,
2016-10-21,0.0,
2016-10-22,0.0,
2016-10-23,0.0,
2016-10-24,0.0,
2016-10-25,0.0,
2016-10-26,0.0,
2016-10-27,0.0,
2016-10-28,0.0,
2016-10-29,0.0,
2016-10-30,0.0,
2016-10-31,0.0,
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,8.0,
2016-11-06,13.0,
2016-11-07,12.0,
2016-11-08,13.0,
2016-11-09,14.000000000000002,
2016-11-10,35.0,
2016-11-11,73.0,
2016-11-12,65.0,
2016-11-13,55.00000000000001,
2016-11-14,65.0,
2016-11-15,62.0,
2016-11-16,43.0,
2016-11-17,39.0,
2016-11-18,32.0,
2016-11-19,46.0,
2016-11-20,48.0,
2016-11-21,42.0,
2016-11-22,28.000000000000004,
2016-11-23,23.0,
2016-11-24,19.0,
2016-11-25,17.0,
2016-11-26,11.0,
2016-11-27,10.0,
2016-11-28,10.0,
2016-11-29,10.0,
2016-11-30,10.0,
2016-12-01,10.0,
2016-12-02,9.0,
2016-12-03,9.0,
2016-12-04,9.0,
2016-12-05,9.0,
2016-12-06,9.0,
2016-12-07,9.0,
2016-12-08,9.0,
2016-12-09,9.0,
2016-12-10,9.0,
2016-12-11,9.0,
2016-12-12,8.0,
2016-12-13,8.0,
2016-12-14,8.0,
2016-12-15,8.0,
2016-12-16,8.0,
2016-12-17,8.0,
2016-12-18,8.0,
2016-12-19,10.0,
2016-12-20,10.0,
2016-12-21,9.0,
2016-12-22,9.0,
2016-12-23,9.0,
2016-12-24,9.0,
2016-12-25,10.0,
2016-12-26,9.0,
2016-12-27,9.0,
2016-12-28,8.0,
2016-12-29,8.0,
2016-12-30,8.0,
2016-12-31,7.000000000000001,
2017-01-01,7.000000000000001,
2017-01-02,7.000000000000001,
2017-01-03,7.000000000000001,
2017-01-04,7.000000000000001,
2017-01-05,25.0,
2017-01-06,10.0,
2017-01-07,10.0,
2017-01-08,16.0,
2017-01-09,15.0,
2017-01-10,15.0,
2017-01-11,15.0,
2017-01-12,15.0,
2017-01-13,48.0,
2017-01-14,63.0,
2017-01-15,55.00000000000001,
2017-01-16,50.0,
2017-01-17,49.0,
2017-01-18,48.0,
2017-01-19,48.0,
2017-01-20,43.0,
2017-01-21,42.0,
2017-01-22,41.0,
2017-01-23,37.0,
2017-01-24,35.0,
2017-01-25,34.0,
2017-01-26,33.0,
2017-01-27,32.0,
2017-01-28,32.0,
2017-01-29,32.0,
2017-01-30,32.0,
2017-01-31,48.0,
2017-02-01,40.0,
2017-02-02,40.0,
2017-02-03,39.0,
2017-02-04,38.0,
2017-02-05,52.0,
2017-02-06,65.0,
2017-02-07,63.0,
2017-02-08,68.0,
2017-02-09,68.0,
2017-02-10,62.0,
2017-02-11,61.0,
2017-02-12,60.0,
2017-02-13,60.0,
2017-02-14,56.00000000000001,
2017-02-15,56.00000000000001,
2017-02-16,54.0,
2017-02-17,52.0,
2017-02-18,56.00000000000001,
2017-02-19,55.00000000000001,
2017-02-20,53.0,
2017-02-21,55.00000000000001,
2017-02-22,53.0,
2017-02-23,52.0,
2017-02-24,53.0,
2017-02-25,52.0,
2017-02-26,51.0,
2017-02-27,50.0,
2017-02-28,56.00000000000001,
2017-03-01,71.0,
2017-03-02,110.00000000000001,
2017-03-03,100.0,
2017-03-04,95.0,
2017-03-05,98.0,
2017-03-06,112.00000000000001,
2017-03-07,135.0,
2017-03-08,137.0,
2017-03-09,143.0,
2017-03-10,128.0,
2017-03-11,115.99999999999999,
2017-03-12,110.00000000000001,
2017-03-13,102.0,
2017-03-14,100.0,
2017-03-15,98.0,
2017-03-16,97.0,
2017-03-17,90.0,
2017-03-18,87.0,
2017-03-19,91.0,
2017-03-20,88.0,
2017-03-21,86.0,
2017-03-22,82.0,
2017-03-23,80.0,
2017-03-24,78.0,
2017-03-25,77.0,
2017-03-26,74.0,
2017-03-27,70.0,
2017-03-28,68.0,
2017-03-29,65.0,
2017-03-30,62.0,
2017-03-31,60.0,
2017-04-01,57.99999999999999,
2017-04-02,57.99999999999999,
2017-04-03,55.00000000000001,
2017-04-04,51.0,
2017-04-05,49.0,
2017-04-06,42.0,
2017-04-07,42.0,
2017-04-08,38.0,
2017-04-09,35.0,
2017-04-10,25.0,
2017-04-11,20.0,
2017-04-12,12.0,
2017-04-13,9.0,
2017-04-14,0.0,
2017-04-15,0.0,
2017-04-16,0.0,
2017-04-17,5.0,
2017-04-18,3.0,
2017-04-19,10.0,
2017-04-20,8.0,
2017-04-21,3.0,
2017-04-22,0.0,
2017-04-23,0.0,
2017-04-24,0.0,
2017-04-25,0.0,
2017-04-26,0.0,
2017-04-27,2.0,
2017-04-28,5.0,
2017-04-29,5.0,
2017-04-30,0.0,
2017-05-01,1.0,
2017-05-02,0.0,
2017-05-03,0.0,
2017-05-04,0.0,
2017-05-05,0.0,
2017-05-06,0.0,
2017-05-07,7.000000000000001,
2017-05-08,0.0,
2017-05-09,0.0,
2017-05-10,0.0,
2017-05-11,0.0,
2017-05-12,0.0,
2017-05-13,0.0,
2017-05-14,0.0,
2017-05-15,0.0,
2017-05-16,0.0,
2017-05-17,0.0,
2017-05-18,0.0,
2017-05-19,0.0,
2017-05-20,8.0,
2017-05-21,0.0,
2017-05-22,0.0,
2017-05-23,0.0,
2017-05-24,0.0,
2017-05-25,0.0,
2017-05-26,0.0,
2017-05-27,0.0,
2017-05-28,0.0,
2017-05-29,0.0,
2017-05-30,0.0,
2017-05-31,0.0,
2017-06-01,0.0,
2017-06-02,0.0,
2017-06-03,0.0,
2017-06-04,0.0,
2017-06-05,0.0,
2017-06-06,0.0,
2017-06-07,0.0,
2017-06-08,0.0,
2017-06-09,0.0,
